;;;;;;;;;;x,,,,,,,,,,
EVTNAME10000;Springtime of Nations;;;;;;;;;;;;x
EVTDESC10000;After less than a decade of quiet following the Hispanian Revolution and its subsequent defeat, it was clear to all of Europe that the dark clouds of liberalism creeping across Europe were not harmless. The clouds broke into an angry storm as liberal agitation erupted into open revolution across the continent. The Monarchical Ancien Regimes of Europe could only look on in horror and disgust, as the hymns of the Hispanian Revolution could again be heard echoing from Europe's tumultuous streets, and students and youth again gathered under republican quartereds, celebrating the ideals, dreams and wishes of a young generation, animated by the powerful message of human liberty -- in economic, cultural, social and national affairs -- that was European Liberalism.;;;;;;;;;;;;;x
EVTOPTA10000;We will be freemen, as our fathers were.;;;;;;;;;;;;x
EVTNAME10001;An Age of Liberalism;;;;;;;;;;;;x
EVTDESC10001;Although political liberalism was defeated not much more than a decade ago in the Hispanian War (1826-1829), its ideas and its lessons could not be purged from the memory of Europeans. Throughout Europe, as old legal systems find themselves increasingly challenged by modern technology and mores, the ideas of liberalism, political reform, freedom of speech, and the rights of peoples, rather than of monarchs, are proving again the old proverb that there is no stopping an idea whose time has come. Minorities long yoked under crowns and scepters are waking up to the realization that fate is theirs to make, and, across far away oceans, the riches of Africa and Asia beckon. As the dust settles on the battlefields of Catalonia and Navarra, Europe stands again at the beginning of a new era: An age of Liberalism.;;;;;;;;;;x
EVTOPTA10001;We can expect increased liberal activity in the coming years.;;;;;;;;;;;;;x
EVTDESC10050;Broken, busted, and thrown to the sides lie the barricades, and the cantoned flags have stopped waving from the window sills. The events that will be recorded by history as the $COUNTRY_ADJ$ Liberal Revolution of $YEAR$ are all in the past, and it seems that we have managed to weather the storm.;;;;;;;;;;;;x;;;;
EVTNAME10180;Anti-Albesan Tract;;;;;;;;;;;;;x;;;;
EVTDESC10180;In a time when the forces of revolution threaten to overthrow all the long-established orders of Europe, it becomes our sacred duty to voice our dissent. The Albesans -- holding nothing sacred save the profane -- are charlatans peddling false ideologies. What the liberal terror brought to Hispania, their radicalism now threatens to impose on $COUNTRY$.'\n\nThe widespread liberal agitation in $COUNTRY$ has mobilized the forces of reaction, and a leading conservative intellectual has published an Anti-Albesan tract.;;;;;;;;;;;;x;;;;
EVTNAME10210;Albesan Uprising;;;;;;;;;;;;x;;;;
EVTDESC10220;The sound of rain falling on the deserted square is deafening. A tattered pamphlet, thrown in the gutter -- the ink running out across the paper in soft blueish blooms -- is the only thing that still serves as proof that $PROVINCENAME$ was, up until just recently, a hotbed of liberal agitation. Depicted on the pamphlet is Lady Liberty, the iconographic personification of the Hispanian revolution, holding a republican cantoned flag. The pamphlet reads: 'Liberty, Equality, Brotherhood -- $COUNTRY$'. It is soon swept away by the rain and down into the sewers whence it came.;;;;;;;;;;x;;;;
EVTNAME10231;The Great Hungarian Uprising;;;;;;;;;;x
EVTDESC10231;Hungarian nationalists have become increasingly vocal in recent months at the unjust rulership that our supposedly democratic country has over them without their consent or participation. They have recently taken up arms and assaulted government officials and attacked our offices. If we are to call ourselves a democratic country, better than the absolute monarchy which we had until recently, then we must recognise our own failings and accommodate these people.;;;;;;;;;;x
EVTNAME11104;Revolution in $FROMCOUNTRY$!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11104;A pro-$UNION_ADJ$ revolution has taken hold in $FROMCOUNTRY$. Its liberal leaders believe that $COUNTRY$ is the nation best-suited to unite all of $CULTURE_GROUP_UNION$, and thus have sworn to support us until the union is ready to occur.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME11106;The $FROMCOUNTRY_ADJ$ Proposal;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC11106;$MONARCHTITLE$, the $FROMCOUNTRY_ADJ$ ambassador has presented us with news from the recent parliament of German revolutionaries. $FROMCOUNTRY$ has agreed to assemble a federation of German states, with the goal of eventually forming a greater Germany. If we do not agree,it is possible that $FROMCOUNTRY$ will attempt to take our lands by force.;;;;;;;;;;;;x,,,,,,,
EVTNAME98314;Fascists Declare Victory!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC98314;The $COUNTRY_ADJ$ election has ended, with the leader of the fascist party declaring victory from the steps of the presidential palace in $CAPITAL$.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME98315;Reactionaries Declare Victory!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC98315;The $COUNTRY_ADJ$ election has ended, with the leader of the reactionary party declaring victory from the steps of the presidential palace in $CAPITAL$.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME98316;Anarcho-Liberals Declare Victory!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC98316;The $COUNTRY_ADJ$ election has ended, with the leader of the anarcho-liberal party declaring victory from the steps of the presidential palace in $CAPITAL$.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME98317;Social Liberals Declare Victory!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC98317;The $COUNTRY_ADJ$ election has ended, with the leader of the social liberal party declaring victory from the steps of the presidential palace in $CAPITAL$.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME98400;The Jewish Diaspora;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC98400;Now that a true Jewish homeland has been established, Israel will begin to draw many Jewish people who live in countries across the world-- though this will inevitably anger many neighboring Islamic countries who object to its presence.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME98405;The Jewish Homeland;;;;;;;;;;;;x,,,,,,,,,,
"EVTDESC98405;Jewish families in $PROVINCENAME$, having originally arrived in $COUNTRY$ as a result of the diaspora,"" are reportedly planning on emigrating to Israel-- the newly-established Jewish homeland in the Palestine. We could encourage them to remain, but that might not be a simple matter.;;;;;;;;;;;;x"",,,,,,,,"
EVTNAME98600;$COUNTRY_ADJ$ Independence?;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC98600;There has been an increasing desire among the people of $COUNTRY$ to gain our full independence. Crowds gathering in $CAPITAL$ have demanded an end to rule by our distant overlords, and while many in the government are sympathetic with their cries there are also those who fear such a demand could lead to war. Any attempts to achieve independence should ideally take a diplomatic route first, with friendly ties maintained if peaceful separation becomes a reality.;;;;;;;;;;;;x,,,,,,,,
EVTNAME98605;$FROMCOUNTRY_ADJ$ Independence?;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC98605;Diplomats from $FROMCOUNTRY$ arrived in $CAPITAL$ this month, presenting a formal request for their full independence from $COUNTRY$. They assure us that they fully intend to maintain ties with our nation, and have agreed to move forward as $COUNTRY_ADJ$ allies, but that they desire their freedom even so. There are many who feel such a request is beyond the pale and must be refused out of hand. Still others say that if $FROMCOUNTRY$ is denied, we could be facing a rebellion-- and is it not better than to have a friendly ally than a recalcitrant and unwilling subject?;;;;;;;;;;;;x,,,,,,
EVTNAME98606;$FROMCOUNTRY$ Has Refused;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC98606;Not unexpectedly, the $FROMCOUNTRY_ADJ$ government has denied our request for independence. It seems our only option is rebellion-- as unrealistic as some claim that option to be.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME98607;$COUNTRY$ Granted Independence;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC98607;Our diplomacy has proven successful: $COUNTRY$ has been granted full autonomy, on the condition that friendly ties be maintained with $FROMCOUNTRY$. Crowds have gathered in $CAPITAL$ to cheer on our Independence Day!;;;;;;;;;;;;x,,,,,,,,,
EVTNAME98610;$FROMCOUNTRY$ Demands Independence;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC98610;It appears the time for diplomacy has ended. We have received word from the $FROMCOUNTRY_ADJ$ government that they have demanded independence-- or it will be war.;;;;;;;;;;;;x,,,,,,,,,,
EVTNAME98611;Must We Fight Alone?;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC98611;Since $COUNTRY$ was denied its independence, there has been talk of open rebellion in the streets of $CAPITAL$. Fighting against our overlords might surely result in us being crushed, however. Since we have no recourse, secretly approaching some of the enemies of our overlord might gain us some allies in the war to come.;;;;;;;;;;;;x,,,,,,,
EVTNAME98612;$FROMCOUNTRY_ADJ$ Independence?;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC98612;Representatives from $FROMCOUNTRY$ have quietly approached us, asking to set up an alliance with $COUNTRY$ should their demand for independence go unheeded. So far, they say, diplomatic efforts have proven fruitless... so $COUNTRY_ADJ$ assistance would be invaluable to them, and perhaps gain us a new ally.;;;;;;;;;;;;x,,,,,,
EVTNAME98650;$FROMCOUNTRY_ADJ$ Unification!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC98650;The call from $FROMCOUNTRY$ has come to $COUNTRY$, asking us to unify with their nation into a greater state-- one which will forge a greater power in a new world order. There are those $COUNTRY_ADJ$ citizens who fear losing our identity in such a union, but many welcome the nation and rightly state that $FROMCOUNTRY$'s influence in $COUNTRY$ is already great. If we deny the union, the $FROMCOUNTRY_ADJ$ government may decide to enforce their claim on us whether we like it or not.;;;;;;;;;;;;x,,,,,,,
EVTNAME98725;The Call for Arab Unity;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC98725;The call has gone out across the world: a nation has risen to lead the Arab masses into the future, a greater power that can withstand the onslaught of colonialism by the European powers. They must rise up and join $COUNTRY$, or forever spend their lives as servants to foreign masters.;;;;;;;;;;;;x,,,,,,,,
EVTNAME98800;$STATENAME$ Colonial Incorporation;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC98800;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Nigerian colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC971311;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Indochinese colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98805;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Togolese colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98806;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Gambian colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98807;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Ivorian colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98810;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Sierra Leonean colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98815;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Guinean colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98820;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Senegalese colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98822;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Algerian colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98825;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Nigerien colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98830;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Chadian colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98835;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Cameroonian colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98837;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Gabonese colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98840;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Congolese colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98845;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Free Congo State colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98852;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Central African colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98858;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Sudanese colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98860;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Zambian colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98865;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Kenyan colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98870;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Tanganyikan colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98875;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Malian colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98880;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Libyan colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98883;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Zanzibar colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98884;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Angolan colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98885;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Mozambican colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98890;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Mauretanian colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98891;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into Morrocco.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98892;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Ghanian colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98893;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Burkinabe colony.;;;;;;;;;;;;x,,,,,,,,,
EVTDESC98895;With the arrival of the $COUNTRY_ADJ$ colonial governor into $PROVINCENAME$, an effort has begun to incorporate $COUNTRY_ADJ$ $STATENAME$ into the larger Ugandan colony.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME160001;The Taiping Rebellion;;Die Taiping-Rebellion;;;;;;;;;;;x;,,,,,,,,,,
EVTDESC160001;A great rebellion has sundered all under Heaven!;;Eine große Rebellion hat alle unter den Weiten des Himmels aufgespalten.;;;;;;;;;;;x;,,,,,,,,,,
EVTOPTA160001;Crush them!;;Vernichtet sie!;;;;;;;;;;;x;,,,,,,,,,,
EVTOPTB160001;Out with the Manchu!;;Weg mit den Manchu!;;;;;;;;;;;x;,,,,,,,,,,
EVTNAME160002;Taiping Rebellion Defeated;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC160002;We have crushed the 'Heavenly Kingdom', and proven to all of China that the Qin Dynasty yet maintains the Mandate of Heaven. We will abide no more insurrections.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME160003;Truce With the Heavenly Kingdom;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC160003;Even though we are not yet done with the 'Heavenly Kingdom', the fact the rebels have forced us to a ceasefire and have not been crushed is being taken by our Chinese subjects as a sign of weakness. Officials are predicting rebellions in many other places in the years to come.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME160004;Truce With the Manchu;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC160004;Though we are not yet done battling the hated Manchu, for the moment the Heavenly Kingdom claims victory. We have forced a truce, and now the Manchu will need to deal with rebellions across their land as the people realize their mandate to rule no longer exists. All the world watches us.;;;;;;;;;;;;x,,,,,,,,
EVTNAME160006;The War Against Taiping;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC160006;The continued existence of the Taiping rebels is an embarassment to the Qin government and our Emperor. Calls have been made for the war to resume, and this time for a national effort be started to draft men into the Qin army. There will be considerable resistance, but the Emperor has decreed that the Heavenly Kingdom must be destroyed!;;;;;;;;;;;;x,,,,,,,,
EVTNAME160007;The War Against the Manchu;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC160007;The truce with the Qin Emperor has come to an end, and already the calls have begun for the Taiping Revolution to continue. The Manchu must be thrown down! All of China must be freed!;;;;;;;;;;;;x,,,,,,,,,
EVTNAME160008;The Taiping Are Victorious!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC160008;We have overthrown the hated Manchu and taken control of all China. Now, as the world watches, the true test comes: transforming the nation into the true Heavenly Kingdom.;;;;;;;;;;;;x,,,,,,,,
EVTNAME160009;The Heavenly Kingdom;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC160009;A troublemaker has arisen in the southern lands. According to reports, this man claims to have received a vision to the effect that he is the younger brother of Jesus Christ and was sent to rid China of the corrupt Qin Dynasty rulers. He has been winning converts to Christianity, and it seems there are many willing to listen to his words of sedition and join his so-called 'Heavenly Kingdom'.;;;;;;;;;;;;x,,,,,,,,
EVTNAME160011;The Female Shortage;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC160011;Due to the low value assigned to the birth of daughters, female infanticide has become wide-spread across much of China. The practice has become so common, in fact, it has led to a shortage of women.;;;;;;;;;;;;x,,,,,,,
EVTNAME160012;Taiping Missionaries in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC160012;We have received reports of Christian missionaries in $PROVINCENAME$, followers of the so-called 'Heavenly Kingdom'. Their actions would not be so objectionable if they were not also preaching sedition against the Manchu-- and, far worse, though provincial governors have attempted to halt the missionaries this has only seemed to stir up support for them even further. There are sightings of their pamphlets all over $STATENAME$ now!;;;;;;;;;;;;x,,,,,,,
EVTNAME160013;Anti-Manchu Sentiment;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC160013;To many people in China, the Qin Dynasty is seen as ineffective and corrupt, ruled by Manchu foreigners. Bitter hatred has been stirring, particularly in the south. This is especially true in $STATENAME$, where there are reports of rioting after a recent confrontation between locals and Manchu officials.;;;;;;;;;;;;x,,,,,,
EVTNAME160016;Yang XiuQin;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC160016;Reports have arrived at the palace that a firewood seller by the name of Yang XiuQin has taken to walking the Southlands, claiming to speak with the voice of God. Regardless of his seeming madness, the man has proven very effective at spreading the word of the so-called 'Heavenly Kingdom'.;;;;;;;;;;;;x,,,,,,,,
EVTNAME160017;Pro-Christian Riots in $STATENAME$!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC160017;Followers of the 'Heavenly Kingdom' are causing further problems in the south. They are already heavily fortified within $PROVINCENAME$, and many Qin advisors consider it completely beyond our control. Anarchy seems rampant, and all throughout $STATENAME$ these rebels are shouting treason. Can nobody do something about this?;;;;;;;;;;;;x,,,,,,,,
EVTNAME160020;The Taiping Sect Spreads!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC160020;The followers of the so-called 'Heavenly Kingdom' have spread their influence even further. According to officials in $STATENAME$, the Christian rebels have been spotted in $PROVINCENAME$ and sentiment against the Qin Dynasty is on the rise throughout the entire state.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME160025;The Death of Hong Xiuquan;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC160025;Our beloved leader, the glorious and most holy Hong Xiuquan, has passed away-- ascended into Heaven to receive his just rewards from God. Those of us who remain must now look to what will become of the Heavenly Kingdom without his guidance. There are some who say that his son, Hong Tianguifu, should be given the reins of power. Others say that Hong Tianguifu is a buffoon and that a proper republic is the way forward. Still others say the unthinkable-- that Hong Xiuquan's death is a sign that the Heavenly Kingdom has lost favor with God, and that the only way to restore it is restore the Qin Dynasty to the Imperial throne-- without, of course, allowing the Manchu to rule the south like errant lapdogs.;;;;;;;;;;;;x,,,
EVTNAME160026;Retreat to Formosa;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC160026;With our holdings on the mainland lost, all we have left is our stronghold on the island of Formosa. The suggestion among what little remains of the $COUNTRY_ADJ$ government is that we abandon $CAPITAL$ and move the capital to Taibei. This does not guarantee our safety by any means, but it may be the only means of survival we possess.;;;;;;;;;;;;x,,,,,,,,
EVTNAME160502;Anti-Manchu feeling;;Anti-Manchu Bewegung;;;;;;;;;;;x;,,,,,,,,,,
EVTDESC160502;Emperor, our officials have detected growing levels of discontent and even hostility towards our Dynasty. This feeling is enflamed by the humiliating presence of the foreign devils in our cities and harbors. How shall we respond?;;Herrscher, die Offiziellen berichten von einer wachsenden Welle des Unfriedens und sogar der Feindschaft gegen unsere Dynastie. Dieses Gefühl wird noch verstärkt durch die Anwesenheit der fremden Teufel in unseren Städten und Häfen. Wie sollen wir darauf reagieren?;;;;;;;;;;;x;,,,,,,,,
EVTOPTA160502;A show of force should deal with this.;;Eine Demonstration unserer Macht sollte helfen.;;;;;;;;;;;x;,,,,,,,,,,
EVTOPTB160502;Do not waste my time with this nonsense!;;Verschwendet meine Zeit nicht mit diesem Unfug!;;;;;;;;;;;x;,,,,,,,,,,
EVTNAME162503;The Taiping Sect Spreads!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC162503;The followers of the so-called 'Heavenly Kingdom' have infested yet another province. According to officials in $PROVINCENAME$, followers of Hong Xiuquan have been spotted and sentiment against the Qin Dynasty is on the rise.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME164503;The Heavenly Kingdom;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC164503;A troublemaker has arisen in the southern lands. According to reports, this man claims to have received a vision to the effect that he is the younger brother of Jesus Christ and was sent to rid China of the corrupt Manchu Qin Dynasty rulers. He has been winning converts to Christianity, and it seems there are many willing to listen to his words of sedition and join his so-called 'Heavenly Kingdom'.;;;;;;;;;;;;x,,,,,,,,
EVTNAME164504;Hong Xiuquan;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC164504;The man behind the so-called 'Heavenly Kingdom' has been given a name: Hong Xiuquan. A former farmer who attempted the civil service examinations in Guangzhou and failed, he has now become a charismatic visionary taking advantage of anti-Manchu sentiment in the south. Some say he is crazed and mad, but regardless he is a danger to the Qin Dynasty and his words are finding eager ears.;;;;;;;;;;;;x,,,,,,,,
EVTNAME164505;Yang XiuQin;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC164505;Reports have arrived at the palace that a firewood seller has taken to walking the Southlands, claiming to speak with the voice of God. Regardless of his seeming madness, the man has proven very effective at spreading the word of the so-called 'Heavenly Kingdom'.;;;;;;;;;;;;x,,,,,,,,
EVTNAME164599;The Xinhai Revolution;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC164599;The forces of revolution have turned against the $COUNTRY_ADJ$ Emperor. With dissent threatening to spread into chaos, leaders of the Beiyang army have demanded the Emperor abdicate his throne. Cheering crowds in $CAPITAL$ greeted the news, but few are aware of the forces now lining up to take control of the government. Kuomintang revolutionaries have demanded a transformation of $COUNTRY$ into a republic with free elections. Army leaders, however, have threatened to oppose the Kuomintang and demanded the republic be under strict Beiyang control.;;;;;;;;;;;;x,,,,,,
EVTNAME164600;The Tongmenghui;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC164600;Revolutionary societies are springing up all over China, and recently we have received word that several of these societies have banded together as the Tongmenghui or 'Chinese United League'. Their stated goal is the revival of Zhonghua, or the concept that China should be a nation ruled by a republic that represents all of its various peoples. These revolutionaries wish to see $COUNTRY$ freed of foreigner influence, and do not seem satisifed to wait and see what reforms the $COUNTRY_ADJ$ monarchy will provide. What's more worrying is that some of the regional warlords appear to be assisting them.;;;;;;;;;;;;x,,,,,,,
EVTNAME164601;Revolutionary Uprising in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC164601;Revolutionaries seeking to bring down the $COUNTRY_ADJ$ monarchy have been stirring up a revolt in $STATENAME$. The incident appears to have begun in $PROVINCENAME$, after a demonstration by local workers turned violent. Though authorities have already moved in, the damage is done. What remains is to determine how we react to this outrageous provocation.;;;;;;;;;;;;x,,,,,,,,
EVTNAME199005;Prospector Strikes Coal!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC199005;We have reports from $PROVINCENAME$ that a new vein of coal has been discovered, and considering the unemployment in $PROVINCENAME$ this might prove to be a boon indeed.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME199006;Prospector Strikes Copper!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC199006;We have reports from $PROVINCENAME$ that a new vein of copper has been discovered, and considering the unemployment in $PROVINCENAME$ this might prove to be a boon indeed.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME199007;Prospector Strikes Iron!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC199007;We have reports from $PROVINCENAME$ that a new vein of iron has been discovered, and considering the unemployment in $PROVINCENAME$ this might prove to be a boon indeed.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME199008;Prospector Strikes Lead!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC199008;We have reports from $PROVINCENAME$ that a new vein of lead has been discovered, and considering the unemployment in $PROVINCENAME$ this might prove to be a boon indeed.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME199009;Prospector Strikes Sulphur!;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC199009;We have reports from $PROVINCENAME$ that a new vein of sulphur has been discovered, and considering the unemployment in $PROVINCENAME$ this might prove to be a boon indeed.;;;;;;;;;;;;x,,,,,,,,,
EVTNAME199015;Cash Crops;;;;;;;;;;;;x,,,,,,,,,,
EVTDESC199015;Considering the levels of unemployment in $PROVINCENAME$, local landowners have begun a movement to switch to the production of cash crops-- in this case cotton, which appears to suited to the local terrain. Whether such a plan would help $PROVINCENAME$ in the long run is unknown, but the landowners are asking for the government's assistance in promoting cotton production.;;;;;;;;;;;;x,,,,,,,
