#unequal_treaty_desc;The Japanese are at a disadvantage. We are in a position to bring them to the negotiating table, and wrangle concessions of both trading privileges and reparations-- provided they are willing, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
;;;;;;;;;;;;x,,,,,,,,,,,,,
end_of_SGF_WUR;Become W¸rttemburg;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_SGF_WUR_desc;With the loss of our lands, we must face a bitter truth and realize that claiming we are more than W¸rttemburg is a conceit we cannot afford. Let the truth become reality.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
end_of_czechoslovakia_bohemia_desc;The union of Bohemia and Slovakia has been sundered. It is time to bring Czechoslovakia to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_czechoslovakia_bohemia_title;The End of Czechoslovakia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_czechoslovakia_slovakia_desc;The union of Bohemia and Slovakia has been sundered. It is time to bring Czechoslovakia to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_czechoslovakia_slovakia_title;The End of Czechoslovakia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_hungarian_revolution_desc;There is no hope for us to continue. Our revolutionaries stand defeated and our country occupied-- we must submit!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_hungarian_revolution_title;End of the Hungarian Revolution;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_iberia_portugal_desc;The Iberian union is no longer the truth. We must put aside the fiction and become Portugal in truth.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_iberia_portugal_title;Become Portugal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_iberia_spain_desc;The Iberian union is no longer the truth. We must put aside the fiction and become Spain in truth.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_iberia_spain_title;Become Spain;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_transcaucasia_ARM_desc;The Transcaucasian union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,
end_of_transcaucasia_ARM_title;The End of Transcaucasia;;;;;;;;;;;;;x,,,,,,,,,,,,,
end_of_transcaucasia_AZB_desc;The Transcaucasian union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,
end_of_transcaucasia_AZB_title;The End of Transcaucasia;;;;;;;;;;;;;x,,,,,,,,,,,,,
end_of_transcaucasia_GEO_desc;The Transcaucasian union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,
end_of_transcaucasia_GEO_title;The End of Transcaucasia;;;;;;;;;;;;;x,,,,,,,,,,,,,
end_of_yugoslavia_albania_desc;The Slavic union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_albania_title;The End of Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_bosnia_desc;The Slavic union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_bosnia_title;The End of Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_bulgaria_desc;The Slavic union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_bulgaria_title;The End of Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_croatia_desc;The Slavic union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_croatia_title;The End of Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_greece_desc;The Slavic union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_greece_title;The End of Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_montenegro_desc;The Slavic union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_montenegro_title;The End of Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_serbia_desc;The Slavic union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_serbia_title;The End of Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_slovenia_desc;The Slavic union has been sundered. It is time to bring it to an end.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_of_yugoslavia_slovenia_title;The End of Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
end_slave_trade_desc;The trading of slaves must stop. We once profited from the Atlantic Slave Trade, just as the nations of Europe did in their golden ages centuries ago, but the slave trade is not an institution for the modern age. We must bring an end to it once again, burying it in the pages of history.;;;;;;;;;;;;;x
end_slave_trade_title;Dismantle the Atlantic Slave Trade;;;;;;;;;;;;;x
enslave_albanians;Enslave the Albanians!;;;;;;;;;;;;;x
enslave_albanians_desc;why johan :(;;;;;;;;;;;;;x
enslave_albanians_setup;why johan :(;;;;;;;;;;;;;x
enslave_albanians_short;why johan :(.;;;;;;;;;;;;;x
enslave_albanians_title;Enslave the Albanians!;;;;;;;;;;;;;x
enslave_the_capitalists;Enslave the Capitalists;;;;;;;;;;;;;x
enslave_the_capitalists_desc;Our nation has recently undergone a glorious Worker's Revolution! The capitalists and aristocrats are still in our midst, ready to take power from the rightful hands of the workers. We must carry out an operation that will enslave them, bringing them down to a status lower than their most downtrodden workers. A few will resist, but our glorious troops can easily handle a few fat and greedy leeches.;;;;;;;;;;;;;x
enslave_the_capitalists_setup;Enslave the Capitalists;;;;;;;;;;;;;x
enslave_the_capitalists_short;Enslave the Capitalists;;;;;;;;;;;;;x
enslave_the_capitalists_title;Enslave the Capitalists;;;;;;;;;;;;;x
enslave_the_undesireables;Enslave the Undesireables;;;;;;;;;;;;;x
enslave_the_undesireables_desc;Our country has been plagued for far too long by people not of our culture. They are bringing down the economy, being leeches set upon our glorious nation, and not contributing their share to society. Let us enslave them and put them to work in our mines and fields, and let our true nationals rise above such dirty manual labour. Let the worms know their place!;;;;;;;;;;;;;x
enslave_the_undesireables_title;Enslave the Undesireables;;;;;;;;;;;;;x
entre_rios_independent_desc;General Francisco RamÌrez has issued a call to the people of Argentina: rise up, and force the dictators to agree to a just constitution that provides rights to every Argentine citizen!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
entre_rios_independent_title;A Call to Rebellion;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
establish_panslavism_desc;The Slavs of the Balkans have lived under the boot of Roman oppression for too long. The time has come to call on them to rise up against their oppressors. All Yugoslavia must unite!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
establish_panslavism_title;Establish Pan-Slavism;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
establish_the_sovnarkomSOV_desc;Soviet Narodnykh Kommissarov', transliterated Russian for 'Council of People's Commissars', was the highest government authority in Soviet Russia, per functions delineated in the 1918 Constitution of the RSFSR. The Sovnarkom was (formally) responsible to the Congress of The Soviets and had, when said Congress was out of session, the power to issue decrees carrying the full force of law.;Le "Soviet Narodnykh Kommissarov" qui signifie littÈralement le "Conseil des commissaires du peuple" fut la plus haute autoritÈ gouvernementale de la Russie soviÈtique dont les fonctions furent dÈfinies dans la constitution de 1918 de la RÈpublique socialiste fÈdÈrative soviÈtique de Russie (RSFSR). Le Sovnarkom Ètait officiellement responsable devant le CongrËs des Soviets de l'administration gÈnÈrale des affaires de l'…tat.;Soviet Narodnykh Kommissarov', Russisch f¸r 'Rat der Volkskommissare', war die hˆchste Regierungsbehˆrde der Sowjetunion und wurde in der Verfassung der RSFSR von 1918 verankert. Die Sovnarkom war (formell) f¸r den sowjetischen Volkskongress verantwortlich und hatte, wenn besagter Kongress nicht tagte, die Macht zur Erlassung von Dekreten mit voller gesetzlicher Macht.;;El 'Soviet Narodnykh Kommissarov', que en ruso significa 'Consejo de Comisarios del Pueblo' era la mayor autoridad de gobierno de la Rusia SoviÈtica, cuyas funciones se delineaban en la constituciÛn de 1918 de la RSFS. El Sovnarkom era responsable (de manera formal) del Congreso de los Diputados del Pueblo y tenÌa, cuando dicho congreso no estaba en sesiÛn, capacidad para emitir decretos con plena validez legal.;;;;;;;;;x
establish_the_sovnarkomSOV_title;Establish The SOVNARKOM;…tablissement du SOVNARKOM;Richtet die SOVNARKOM ein;;Fundar la SOVNARKOM;;;;;;;;;x
eth_mission_to_cairo_desc;The strained relations between Ethiopia and Egypt must come to an end. We each have our respective lands, and truly there is no reason for us to fight. At worst, continued conflict will leave both our nations weak to exploitation by foreign powers.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
eth_mission_to_cairo_title;Mission to Cairo;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
exile_house_of_rashid_desc;We are victorious over the House of Rashid. We must send them into exile, so that Arabia stands united under a single flag: our own.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
exile_house_of_rashid_title;Banish the House of Rashid;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
exile_house_of_saud_desc;We are victorious over the House of Saud. We must send them into exile, so that Arabia stands united under a single flag: our own.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
exile_house_of_saud_title;Banish the House of Saud;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
extending_to_danube_desc;Now that we've regained all our cultural land from the Turks and Austrians we should move to annex the province of Pancevo into our realm, the Volasean minority is eager to join us and the province would extend our natural borders along the Danube.;;;;;;;;;;;;;x,,
extending_to_danube_title;Extending to the Danube;;;;;;;;;;;;;x,,,
flores_sale_desc;The Indonesian islands are almost worthless to us, but might be of value to the Dutch East India Company. We should consider selling them for a tidy profit.;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,
flores_sale_title;Sell Flores to the Dutch;;;;;;;;;;;;;;x;,,,,,,,,,,,,,,,,,,,,,,
forced_egyptological_excavations_title;The Valley of the Kings;;x
forced_egyptological_excavations_desc;Since we control Luxor, we can send an expedition to The Valley of The Kings to conduct archeological excavations without any interference. Discoveries of Egyptian tombs could increase our prestige.;x
force_vassal_freedom_desc;A chance is upon us. Do we approach the great power who has so much influence in $COUNTRY$, and ask them to intervene in our affairs? If we do, we stand a chance of freeing ourselves from foreign rule. We also stand to lose a great deal, as do they. We must proceed cautiously.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
force_vassal_freedom_title;We Shall Be Free;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_arab_union_desc;A nation must arise to lead the Arab peoples of the world into the future, a greater power that would unite the Arab world from Morocco to the Mashriq.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_arab_union_title;Form Arab Union;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_baltic_states_desc;The time has become to unite the Baltic nations under a single flag-- ours.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_baltic_states_title;Unite the Baltic States;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_baluchistan_desc;The Baluchi people must be liberated and united under a single flag-- ours.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_baluchistan_title;Form Baluchistan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_caliphate_desc;The dream of a true muslim nation: unite the peoples of Islam under a single banner, one which could make the nations of the world shake before its might and cast fear into the hearts of men so used to treating our brethren as lesser beings.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_caliphate_title;Form the Islamic Caliphate;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_china_desc;With the northern capital now under our control, the time has come to unite all of China under a single flag.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_china_title;Become China;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_czechoslovakia_desc;Bohemia and Slovakia cannot exist alone amidst the warring powers of Europe. We must unite under a single banner!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_czechoslovakia_title;Form Czechoslovakia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_dravidistan2_desc;We must unite the Dravidian people under a single flag, to better resist the Imperialists from incursions into India.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_dravidistan2_title;Form Dravidistan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_dravidistan_desc;We must unite the Dravidian people under a single flag, to better resist the Imperialists from incursions into India.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_dravidistan_title;Form Dravidistan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_durrani_empire_desc;With Pashtun lands once again back in our hands, the empire of the Pashtuns can once again rise and reclaim that which was lost!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_durrani_empire_title;Revive the Durrani Empire;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_french_indochina_desc;With the colonial government taking form in Saigon, French administrators have advised elevating the region to a full department-- clearly with eyes on expanding French colonial rule to neighbors in Southeast Asia.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_french_indochina_title;French Indochina;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_germany_AUS_desc;The great empire of the Habsburgs no longer exists, but the unification of Germany under Austrian leadership, as perhaps it was always meant to be, still awaits us. Long live the German Empire, one people ruled from the great city of Vienna!;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
form_germany_AUS_title;Three Hurrahs For Germany!;Pour l'Allemagne, hip hip hip, hourra !;Ein dreifaches Hurra auf Deutschland!;;;;;;;;;;;;x;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,,,,,
form_hindustan2_desc;We must unite the people of Hindustan under a single flag, to better resist the Imperialists from incursions into India.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_hindustan2_title;Form Hindustan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_hindustan_desc;We must unite the people of Hindustan under a single flag, to better resist the Imperialists from incursions into India.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_hindustan_title;Form Hindustan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_india_desc;The peoples of the Indian sub-continent must be united under a single banner: ours. It is the only way to keep us free of rule from European powers.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_india_title;Form India;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_indochina_desc;A united Indochina is within our grasp, all we have to do is reach out and take it!;;;;;;;;;;;;;x
form_indochina_title;Form Indochina;;;;;;;;;;;;;x
form_italy_itp_desc;By establishing a dominant position on the Italian peninsula, we can secure a national homeland for our people by proclaiming ourselves the motive power of a unified Italian state.;Gr?e ?l'?ablissement d'une position dominante sur la p?insule italienne, nous formerons une patrie pour notre peuple en nous proclamant la force motrice d'un ?at italien unifi?;Durch die Absicherung einer dominanten Position auf der italienischen Halbinsel k?nen wir unserem Volk eine nationale Heimat geben, indem wir uns als treibende Kraft fÒÒ eine vereinigte italienische Nation proklamieren.;;Al establecer una posici? dominante en la pen?sula italiana, podemos garantizarle a nuestro pueblo una patria nacional con fronteras seguras y convertirnos en el germen de un estado italiano unificado.;;;;;;;;;x
form_italy_itp_title;Avanti Italia!;Avanti Italia !;Avanti Italia!;;Avanti Italia!;;;;;;;;;x
form_laos_desc;Now that we have united the separated Lao states we can finally reform the old nation, Lan Xang;;;;;;;;;;;;;x
form_laos_title;Form Lan Xang;;;;;;;;;;;;;x
form_maghreb_desc;The Maghrebi cultures of western Africa must be united under a single flag, an Arab nation mighty enough to shake the world order to its foundations.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_maghreb_title;Unite the Maghreb;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_marathas2_desc;The Maratha Empire was once the greatest force upon the Indian subcontinent. The time has come for it to rise once more!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_marathas2_title;Form Marathas;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_marathas_desc;The Maratha Empire was once the greatest force upon the Indian subcontinent. The time has come for it to rise once more!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_marathas_title;Form Marathas;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_north_german_confederation2_desc;The conditions may be less than ideal, but in order to maintain national security and strive towards North German hegemony, we must approach our North German allies and create a confederation. Only with a united front, under a single flag, may we succeed!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
form_north_german_confederation2_title;Call for German Unity;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_rajputana_desc;We must unite the Rajput people under a single flag, to better resist the Imperialists from incursions into India.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_rajputana_outside_desc;The Rajput states must be collected into a single state, one which will far better serve our needs as a stronger ally.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_rajputana_outside_title;Form the Raj;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_rajputana_title;Form Rajputana;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_roman_empire_desc;With Rome and the Pope under our heel it's time to reform the Roman Empire, if the Germans could do it, why can't we?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_roman_empire_title;Reforming the Roman Empire;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_saudi_arabia_desc;A united arab nation under our rule will make a strong and stable ally.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_saudi_arabia_title;Form Arabia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_south_africa_desc;With the Kaap Colony under our control we can form a true, united republic - one that at last will keep us from foreign domination and Dutch rule.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_south_africa_title;Form South Africa;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_south_german_confederation2_desc;The conditions may be less than ideal, but in order to maintain national security and strive towards South German hegemony, we must approach our South German allies and create a confederation. Only with a united front, under a single flag, may we succeed!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
form_south_german_confederation2_title;Call for German Unity;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_the_ikhwan_desc;An alliance with the Wahhabist religious order among the Bedouins will give us precisely the force we need to unite Arabia under our rule.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_the_ikhwan_title;Alliance with the Wahhabists;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_transcaucasia_desc;The nations of the southern Caucasus must unite together, a new power sufficient to withstand the might of Russian colonialism.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
form_transcaucasia_title;Unite Transcaucasia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_yemen_outside_desc;We are in a position to unite the Southern and Northern Yemeni tribes under a single unified puppet state.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_yemen_outside_title;Form Yemen;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_yugoslavia_desc;The Slavic peoples of the Balkans must be united under a single banner: ours. It is the only way to keep us free of rule from European powers.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
form_yugoslavia_title;Form Yugoslavia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
france_protector_of_eastern_christians_desc;Up until now, the Russians have maintained sovereign authority over Christians in the Holy Land-- authority that rightfully belongs to the Roman Catholic Church. It is time for that to change.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
france_protector_of_eastern_christians_title;Claim Authority in the Holy Land;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
french_blobmode_desc;There are still French European lands that aren't under our control, we should push to integrate them into our own holdings.;;;;;;;;;;;;;x,,
french_blobmode_title;French Irredentism;;;;;;;;;;;;;x,,,
french_colonial_blobmode_desc;Je voudrais une baguette, ah ha ha, oh oh oh oh;;;;;;;;;;;;;x,
french_colonial_blobmode_title;Baguette;;;;;;;;;;;;;x,,,
french_cultural_unity;French Cultural Unity;;;;;;;;;;;;x,,,,,,,,,,,,,
french_cultural_unity_desc;New schooling policies are slowly assimilating patois-speaking Frenchmen.;;;;;;;;;;;;x,,,,,,,,,,,,,
french_language_schooling_desc;A motion has been put forward by the minister Jules Ferry, namely that not only should schooling in France be free-- but that it must be solely in French. Langues d'oc and other forms of patois must be stamped out so that France has cultural unity. That, he says, will give our nation the strength it needs to fully modernize.;;;;;;;;;;;;x,,,,,,,,,,
french_language_schooling_title;French Language Schooling;;;;;;;;;;;;x,,,,,,,,,,,,,
fukoku_kyohei_desc;Meaning 'Enrich the country, strengthen the military', this must become the objective of a unified Japan if we are to catch up with the technological advantage held by the West. We must face these barbarians at their own game, and be better at it.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
fukoku_kyohei_title;Fukoku Kyohei;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ganghwa_treaty_desc;With our superior firepower over the Koreans, it will be possible to blockade them into agreeing to our demands.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
ganghwa_treaty_title;Treaty of Ganghwa;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
garibaldi_redshirts_desc;The revolutionary leader, Giuseppe Garibaldi, has called upon the Italian people to take arms in the name of unification. A volunteer army under Garibaldi's leadership will topple the southern governments and remove the stain of the Bourbon legacy from the peninsula forever.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
garibaldi_redshirts_title;Expedition of the Thousand;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
gold_coast_treaty_desc;We have experienced numerous conflicts with the Dutch government, in regards to their colonial holdings on the Gold Coast and elsewhere. A treaty to solidify our hold on the Gold Coast, and increase our mutual friendship and cooperation, might be beneficial to both our nations.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
gold_coast_treaty_title;Gold Coast Treaty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_afghanistan_desc;We are a power to be reckoned with. It is time that we claimed the lands that are part of our heritage!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_afghanistan_title;Claim Greater Afghanistan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_assyria_desc;Our people lie scattered  under the rule of foreign nations-- we must bring them under our banner and reclaim the lands which were once ours.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_assyria_title;Claim Greater Assyria;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_banat_desc;With German villages and towns in the area now outside German control it would be in everyone's best interest for them to unify with Banat;;;;;;;;;;;;;x,,,
greater_banat_title;Greater Banat;;;;;;;;;;;;;x,,,
greater_finland_desc;Having gained our freedom from the Russians and international recognition as an important power, we need to extend ourselves to our natural borders, both for defence and to include more Finns in the region.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_finland_title;Greater Finland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_germany_GER_desc;The Germany peoples are led by a government willing and able to do something about uniting the Germans living in foreign lands into the state, so let us begin!;;;;;;;;;;;;;x
greater_germany_GER_title;Groﬂdeutschland;;;;;;;;;;;;;x
greater_macedonia_desc;All Macedonians must rightfully fall under the Macedonian flag!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_macedonia_title;Claim Greater Macedonia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_nederlander_desc;Numerous groups of our people exist outside the Netherlands currently, it would be in our best interest to attempt to bring them back into the fold.;;;;;;;;;;;;;x,,
greater_nederlander_title;Extending our borders;;;;;;;;;;;;;x,,,
greater_nepal_desc;The time has come to revoke the Sugauli Treaty and take back that which was taken from us. Greater Nepal must be restored!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_nepal_title;Claim Greater Nepal;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_serbia_desc;Many Serbs live throughout the Balkans. It is our duty to unite all of them under the Serbian flag!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_serbia_title;Claim Greater Serbia;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_syria_desc;Now that Syria has gained her freedom, we should naturally look to secure and expand our borders, by uniting the peoples of the Levant and the Fertile Crescent under a single state.;;;;;;;;;;;;;x
greater_syria_title;Greater Syria;;;;;;;;;;;;;x
greater_ukraine_desc;All Ukrainians must rightfully fall under the Ukrainian flag!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_ukraine_title;Claim the Greater Ukraine;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
greater_yucatan_desc;A free Mayan nation for all Mayans is in the best interests of all Mayan people, and as such we should expand our lands to accommodate them;;;;;;;;;;;;;x
greater_yucatan_title;Greater Yucatan;;;;;;;;;;;;;x
greater_yugo_desc;Yugoslavia is yet to encompass all lands of the southern slavs, we must seek out and regain these lands for the good of the people.;;;;;;;;;;;;;x,,
greater_yugo_title;Greater Yugoslavia;;;;;;;;;;;;;x,,,
greek_sevastopol_desc;Now that we've regained our ancestor's holdings in Cherson, we should invite the Romans of the northern shores of the sea to come back to their former home.;;;;;;;;;;;;;x
greek_sevastopol_title;Reclaim Cherson;;;;;;;;;;;;;x
hawaiian_purchase_desc;Interlopers have moved in on our claims in the Hawaiian Islands region. Considering we have friendly enough relations with them, perhaps we should consider a purchase of the territory before we resort to war?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
hawaiian_purchase_title;The Hawaiian Islands Purchase;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
hedjaz_independent_desc;It is clear that Egypt is no longer in a position to rule us. Thus it is time for the Hedjaz to find its own path.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
hedjaz_independent_title;Declare Independence from Egypt;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
ibn_saud_desc;The time has come to unite all of the Arabian peninsula under our rule. Hedjaz must be taken, in order for the Saudi nation to truly stand on its own.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
ibn_saud_title;Ibn Saud;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
inherit_ryukyu_desc;The islands of Ryukyu have always had blood ties to both China and Japan. They must be brought into the fold with the rest of our nation.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
inherit_ryukyu_title;Inherit Ryukyu;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
